date,region,revenue,orders,customer_id
2026-01-01,North,12000,80,C001
2026-01-02,North,14500,94,C002
2026-01-03,South,9800,72,C003
2026-01-04,South,11200,77,C004
2026-01-05,West,8700,61,C005
2026-01-06,North,15300,101,C006
2026-01-07,South,12500,88,C007
2026-01-08,West,9100,64,C008
2026-01-09,North,16100,105,C009
2026-01-10,South,11800,81,C010
2026-01-11,West,9400,66,C011
2026-01-12,North,17200,112,C012
2026-01-13,South,,84,C013
2026-01-14,West,10100,70,C014
2026-01-15,North,18000,118,C015
2026-01-16,South,12900,91,C016
2026-01-17,West,9900,69,C017
2026-01-18,North,17600,115,C018
2026-01-19,South,13400,94,C019
2026-01-20,West,10300,71,C020
2026-01-21,North,18500,121,C021
2026-01-22,South,13800,97,C022
2026-01-23,West,10700,74,C023
2026-01-24,North,19100,125,C024

